Facility ID,State,ERR,hf_discharges,hf_readmissions,predicted_rate,expected_rate,penalized,Facility Name,City/Town,ownership_cat,type_cat,overall_rating,has_emergency,hcahps_nurse_comm,hcahps_doctor_comm,hcahps_discharge_info,hcahps_care_transition,hcahps_overall_rating,hcahps_recommend,tc_influenza_vax,tc_ed_left_no_seen,tc_sepsis_care,tc_vte_prophylaxis,tc_vte_discharge,hac_psi90,hac_total_score,hac_penalty_flag,medicare_spending_ratio,region,is_forprofit,is_government,region_northeast,region_south,region_west,log_hf_discharges
010001,AL,1.0597,681.0,151.0,21.5645,20.3495,1,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,Government,Acute Care,4.0,1.0,90.0,92.0,79.0,87.0,89.0,91.0,93.0,5.0,69.0,99.0,100.0,0.9812,-0.055,0.0,1.03,South,0,1,0,1,0,6.525029657843462
010005,AL,0.9935,176.0,35.0,20.1511,20.2835,0,MARSHALL MEDICAL CENTERS,BOAZ,Government,Acute Care,3.0,1.0,91.0,93.0,72.0,88.0,87.0,85.0,59.0,3.0,75.0,,,1.0099,0.6475,1.0,1.0,South,0,1,0,1,0,5.176149732573829
010006,AL,0.9666,508.0,95.0,19.1704,19.8318,0,NORTH ALABAMA MEDICAL CENTER,FLORENCE,For-Profit,Acute Care,2.0,1.0,89.0,88.0,70.0,82.0,83.0,80.0,64.0,1.0,66.0,,97.0,1.1595,-0.5397,0.0,1.02,South,1,0,0,1,0,6.2324480165505225
010007,AL,1.0674,35.0,12.0,21.0944,19.7621,1,MIZELL MEMORIAL HOSPITAL,OPP,Non-Profit,Acute Care,1.0,1.0,,,,,,,29.0,2.0,13.0,70.0,79.0,0.9325,-0.3427,0.0,1.02,South,0,0,0,1,0,3.58351893845611
010011,AL,1.0439,295.0,63.0,20.3295,19.474,1,ST. VINCENT'S EAST,BIRMINGHAM,Non-Profit,Acute Care,2.0,1.0,89.0,90.0,73.0,84.0,87.0,86.0,79.0,2.0,75.0,85.0,88.0,0.9494,-0.1899,0.0,1.02,South,0,0,0,1,0,5.69035945432406
010012,AL,1.0505,84.0,20.0,19.7116,18.7646,1,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,For-Profit,Acute Care,3.0,1.0,93.0,92.0,79.0,88.0,85.0,83.0,69.0,3.0,94.0,,91.0,0.939,-0.0884,0.0,1.01,South,1,0,0,1,0,4.442651256490317
010016,AL,1.0005,229.0,47.0,20.5099,20.5005,1,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,Non-Profit,Acute Care,2.0,1.0,89.0,90.0,72.0,84.0,85.0,83.0,75.0,4.0,75.0,81.0,,1.3631,0.2231,0.0,1.05,South,0,0,0,1,0,5.438079308923196
010019,AL,0.9294,254.0,40.0,17.7522,19.1001,0,HELEN KELLER HOSPITAL,SHEFFIELD,Government,Acute Care,2.0,1.0,93.0,91.0,79.0,88.0,91.0,91.0,66.0,4.0,69.0,,,0.9451,0.7297,1.0,1.11,South,0,1,0,1,0,5.541263545158426
010021,AL,1.0522,34.0,11.0,21.5293,20.4608,1,DALE MEDICAL CENTER,OZARK,Government,Acute Care,3.0,1.0,,,,,,,53.0,2.0,56.0,63.0,85.0,1.132,0.476,1.0,1.08,South,0,1,0,1,0,3.5553480614894135
010023,AL,1.038,305.0,67.0,21.0958,20.324,1,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,Government,Acute Care,1.0,1.0,91.0,91.0,79.0,87.0,89.0,88.0,94.0,3.0,47.0,,,1.8441,1.1968,1.0,1.03,South,0,1,0,1,0,5.723585101952381
010024,AL,1.0036,325.0,63.0,19.3075,19.2384,1,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,Non-Profit,Acute Care,2.0,1.0,91.0,91.0,74.0,84.0,87.0,86.0,31.0,2.0,85.0,,,1.0158,1.1423,1.0,1.03,South,0,0,0,1,0,5.786897381366708
010029,AL,1.0648,179.0,40.0,19.9011,18.6901,1,THE EAST ALABAMA HEALTHCARE AUTHORITY,OPELIKA,Government,Acute Care,3.0,1.0,92.0,93.0,77.0,86.0,90.0,90.0,77.0,6.0,75.0,,,0.999,0.341,0.0,0.96,South,0,1,0,1,0,5.19295685089021
010033,AL,0.9451,675.0,123.0,18.8084,19.9019,0,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,Government,Acute Care,3.0,1.0,91.0,93.0,77.0,89.0,90.0,91.0,94.0,3.0,59.0,,,1.2417,0.4641,1.0,0.96,South,0,1,0,1,0,6.516193076042964
010035,AL,1.018,367.0,70.0,18.7366,18.4048,1,CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,Government,Acute Care,2.0,1.0,92.0,90.0,72.0,85.0,87.0,84.0,78.0,1.0,96.0,78.0,,0.9435,-0.4413,0.0,0.97,South,0,1,0,1,0,5.908082938168931
010036,AL,1.0267,159.0,37.0,22.0685,21.4955,1,ANDALUSIA HEALTH,ANDALUSIA,For-Profit,Acute Care,2.0,1.0,91.0,92.0,76.0,84.0,86.0,85.0,78.0,2.0,58.0,,85.0,0.9369,-0.8768,0.0,1.0,South,1,0,0,1,0,5.075173815233827
010039,AL,0.9752,1270.0,241.0,19.115,19.6017,0,HUNTSVILLE HOSPITAL,HUNTSVILLE,Government,Acute Care,2.0,1.0,91.0,91.0,75.0,88.0,89.0,90.0,71.0,1.0,68.0,,,1.7076,0.8345,1.0,1.02,South,0,1,0,1,0,7.147559271189454
010040,AL,0.9818,235.0,49.0,21.4155,21.8117,0,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,For-Profit,Acute Care,1.0,1.0,90.0,90.0,72.0,84.0,84.0,82.0,19.0,2.0,45.0,,,1.9485,0.5101,1.0,1.05,South,1,0,0,1,0,5.4638318050256105
